airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
2265,2,0,0,0,0,19,30.27588926,-97.71515615,Austin,,Zen-East in the Heart of Austin,4,20,Entire home/apt,Entire house,4.5,0,1,200,$200 ,,USD,0.89,TX
5245,1,0,0,0,0,17,30.27740604,-97.71492845,Austin,,"Green, Colorful, Clean &  Cozy home",2,8,Private room,Private room,4.5,0,1,125,$125 ,,USD,1,TX
5456,2,0,0,1,1,16,30.26111595,-97.73448284,Austin,East Downtown,"Walk to 6th, Rainey St and Convention Ctr",3,409,Entire home/apt,Entire apartment,5,0,1,95,$95 ,,USD,1,TX
5769,1,0,0,0,1,20,30.45596396,-97.78370172,Austin,SW Williamson Co.,NW Austin Room,2,211,Private room,Private room,5,0,1,40,$40 ,,USD,1,TX
6413,1,0,0,0,1,14,30.24829103,-97.73726198,Austin,Travis Heights,Gem of a Studio near Downtown,2,65,Entire home/apt,Entire apartment,5,0,0.6,99,$99 ,,USD,1,TX
6448,2,0,1,0,0,16,30.26027322,-97.76502893,Austin,Zilker,Secluded Studio in 78704 (Zilker),3,160,Entire home/apt,Entire apartment,5,1,0.5,129,$129 ,,USD,0.82,TX
8502,1,0,0,0,0,14,30.23615745,-97.73682307,Austin,East Riverside,Woodland Studio Lodging,2,43,Entire home/apt,Entire apartment,4.5,0,0.75,40,$40 ,,USD,0.9,TX
14765,4,0,1,0,0,19,30.25015001,-97.74190244,Austin,Travis Heights,Discount Dec 11-27 Travis Hghts-walk to SoCo/Dwtn,5,29,Entire home/apt,Entire house,4.5,0,0.42,230,$230 ,,USD,0.8,TX
21120,1,0,0,0,1,43,30.17016456,-97.75695392,Austin,McKinney,South Austin Oasis of Relaxation,2,73,Private room,Private room,5,0,0.43,55,$55 ,,USD,0.73,TX
21145,3,0,1,0,1,15,30.29404363,-97.74706118,Austin,,"Central, Pet Friendly, Wifi, Private Pool and Spa",6,18,Entire home/apt,Entire house,5,0,0.39,200,$200 ,,USD,0.85,TX
22982,3,0,0,1,1,12,30.28027348,-97.75595562,Austin,Clarksville,Private Clarksville $120/night,6,73,Entire home/apt,Entire apartment,5,0,0.49,90,$90 ,,USD,0.85,TX
27632,1,0,0,0,1,14,30.27722481,-97.76087567,Austin,Old West Austin,Clarksville Condo - Minutes to DT!,2,81,Entire home/apt,Entire condominium,5,1,1,125,$125 ,,USD,1,TX
33419,4,0,0,1,1,17,30.2407848,-97.77498333,Austin,South Lamar,Spacious SOLA home,6,82,Entire home/apt,Entire house,5,0,0.7,80,$80 ,,USD,0.84,TX
37324,1,0,0,0,0,2,30.43029583,-97.69124916,Austin,Scofield Ridge,furnished bedroom and full bath,1,17,Private room,Private room,5,1,0.45,35,$35 ,,USD,0.7,TX
39993,1,0,0,0,1,21,30.29995525,-97.77832324,Austin,Tarrytown,Tiny Tarrytown Apartment,2,2,Entire home/apt,Entire house,,0,1,69,$69 ,,USD,1,TX
47559,7,0,0,0,1,56,30.25125406,-97.74241662,Austin,,3/2 House On Boardwalk w/Bikes!,9,41,Entire home/apt,Entire house,5,0,1,299,$299 ,,USD,1,TX
47572,1,0,0,0,0,16,30.37641321,-97.70925518,Austin,,Harmonious Room for Rent  N. Austin,1,0,Private room,Private room,,0,0.5,100,$100 ,,USD,0.75,TX
